company_name,mst,company_representative,address
CÔNG TY TNHH MỘT THÀNH VIÊN XNK SX DV THƯƠNG MẠI THIÊN NAM DƯỢC,3901073802,VÕ THANH HẢI," Số E2/6 (số mới 16), ấp Hiệp Long, Xã Hiệp Tân, Thị xã Hoà Thành, Tỉnh Tây Ninh, Việt Nam"
CÔNG TY TNHH TRE XANH,3701733882,NGUYỄN VĂN SANG," Số 799, đường Huỳnh Văn Lũy, khu 7, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN DƯỢC PHẨM TAM LONG,0200393051,Nguyễn Văn Mến," Số 103/109 Trường Chinh,, Phường Đồng Hoà, Quận Kiến An, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ QUYẾT ANH 29,0105302791,ĐỖ VĂN HẠNH," Tổ dân phố Tân Thanh, Thị trấn Tây Yên Tử, Huyện Sơn Động, Tỉnh Bắc Giang, Việt Nam"
CÔNG TY TNHH DƯỢC HANVET,0900249945,NGUYỄN HỮU VŨ," Khu công nghiệp Phố Nối A, Phường Bần Yên Nhân, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY TNHH PHƯƠNG DUY,1800537878,PHẠM SỸ PHÁI," Lô 2-18C Khu CN Trà Nóc II, Phường Phước Thới, Quận Ô Môn, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH DƯỢC THẢO HOÀNG THÀNH NINH BÌNH,2700612280,BÙI THỊ KIÊM," Phố Hồng Lai, Thị Trấn Nho Quan, Huyện Nho quan, Tỉnh Ninh Bình, Việt Nam"
CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NHA TRANG,4200451832,NGUYỄN THÀNH LONGLÊ ĐÌNH PHAN," 26 Hàn Thuyên, Phường Xương Huân, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM VIỆT PHÚC,1800153906,VƯƠNG HỮU PHƯỚC," 155A Trần Hưng Đạo, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH KYOTO BIKEN HÀ NỘI LABORATORIES,0900696541,YU KATSUGO	," Lô đất số F6, Khu công nghiệp Thăng Long II, Xã Liêu Xá, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY TNHH THUỐC THÚ Y Á CHÂU,1800493726,Nguyễn Thị Thu Diệu," 130, QL1A, Phường Ba Láng, Quận Cái Răng, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH THUỐC THỦY SẢN NĂM CON ĐƯỜNG,4200713340,NGUYỄN THỊ HOÀI," 01A Phùng Khắc Khoan, Phường Phước Hòa, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
CÔNG TY TNHH THẾ GIỚI GEN,0309215120,NGUYỄN VĂN LỄ," Lô I5-1, đường N7, Khu công nghệ cao, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN LIÊN DOANH DƯỢC PHẨM MEDIPHARCO TENAMYD BR S.R.L,3301366116,NGUYỄN THỊ KIM DUNG," 08 Nguyễn Trường Tộ, Phường Phước Vĩnh, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM VẠN XUÂN,1600706984,NGUYỄN ĐÌNH TOẠI," Số 54/13A Lê Lợi, Phường Mỹ Bình, Thành phố Long Xuyên , Tỉnh An Giang, Việt Nam"
CÔNG TY LIÊN DOANH DƯỢC PHẨM MEBIPHAR - AUSTRAPHARM,0303023486,ĐỖ VŨ TRÍĐINH ANH HÀO," số Lô III 18 cụm 4, Nhóm CN III, đường số 13, KCN Tân Bình , Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN SINH DƯỢC PHẨM HERA,3301477602,Phạm Bá Hưng," Lô A17 Khu công nghiệp Tứ Hạ, Phường Tứ Hạ, Thị xã Hương Trà, Tỉnh Thừa Thiên Huế, Việt Nam"
CÔNG TY LIÊN DOANH MEYER-BPC,1300337479,HUỲNH THIỆN NGHĨA," 6A3, Quốc lộ 60, Phường Phú Tân, Thành phố Bến Tre, Tỉnh Bến Tre, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI - DỊCH VỤ VÀ SẢN XUẤT NAM PHÁT,1500405366,NGÔ HỒNG THÁI," Số 54/4 ấp Phước Ngươn A, Xã Phước Hậu, Huyện Long Hồ, Tỉnh Vĩnh Long, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ CAO THIỆN TÂM,3901211964,TRẦN QUANG MINH," 78 Bời Lời, Khu phố Ninh Phú, Phường Ninh Sơn, Thành phố Tây Ninh, Tỉnh Tây Ninh, Việt Nam"
CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC VIỆT HÀN - CHI NHÁNH XƯỞNG SẢN XUẤT,0315133701-001,CAO ANH VIỆT," 364 Võ Văn Bích, Ấp 4B, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ MẠNH TIẾN ĐẠT - XƯỞNG SẢN XUẤT ,0313597948-001,NGUYỄN ĐÌNH MẠNH," 71/4/5 Đường Lê Thị Nho, Khu phố 2, Phường Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI AP PHÚ HƯNG,1001106071,VŨ XUÂN DUẨN," Thôn Nhân Phú, Xã Hùng Dũng, Huyện Hưng Hà, Tỉnh Thái Bình, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM NORWAY PHARMATECH AS,0317405012,HÁN VĂN SƠN," 76 Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH BẮC NINH CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO SMOST VIỆT NAM,0107639423-001,TRỊNH NGỌC HUẤN," Lô D20 Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY CỔ PHẦN AROMAG,0107646276,NGUYỄN THỊ THÚY HẰNG," Tầng 6 tòa nhà Việt Á, số 9 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM W - HEALTH,0901001094,ĐÀO DANH TRUNG," Số 32 Lê Thanh Nghị, Phường Hiến Nam, Thành phố Hưng yên, Tỉnh Hưng Yên, Việt Nam"
NHÀ MÁY SẢN XUẤT DƯỢC PHẨM - CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ĐÔNG Á,0100274124-008,BÙI VĂN THANH," Lô A2, CN3, Cụm Công nghiệp Từ Liêm, Phường Minh Khai, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VIỆT VIỄN,0301451447-003,Trần Xuân Ngọc," 72 Đường số 20, Phường 6, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN THUỐC THÚ Y TOÀN THẮNG TẠI BẮC NINH,0102137268-002,PHẠM ĐẮC THẮNG ," Số 02, đường TS 17, Khu công nghiệp Tiên Sơn, Phường Đồng Nguyên, Thành phố Từ Sơn, Tỉnh Bắc Ninh, Việt Nam"
"CHI NHÁNH CÔNG TY TNHH SẢN XUẤT, THƯƠNG MẠI DƯỢC PHẨM THÀNH NAM TẠI BÌNH DƯƠNG",0303606960-001,TRẦN QUANG THÀNH," Số 60 đại lộ Độc Lập, KCN Vietnam Singapore, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM FUSI,0106565049,DƯƠNG HƯNG THỊNH," Số 8, phố Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ SINH HỌC STRONG PH,0313371732,NGUYỄN NGỌC TÀI," Số 11A Đường Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN THỦY SẢN TCT,1801497240,PHAN MINH HIỀN TRIẾT," 289, ấp Mỹ Lộc, Xã Mỹ Khánh, Huyện Phong Điền, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH SINH HỌC THẢO LINH XANH,0900998013,Trịnh Thị Hà," Thôn Diệt Pháp, Xã Thiện Phiến, Huyện Tiên Lữ, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM TỒN SANH,1801485534,Cao Thị Diễm Trang," L5-33, khu dân cư Ngân Thuận, Phường Bình Thủy, Quận Bình Thuỷ, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH THẢO DƯỢC HOÀN TÂM,0314013384,Vũ Văn Hoàn," 209 Đường số 1, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN THUỐC THÚ Y AHAVET,0107595462,Nguyễn Thị Hằng," Ngõ 64 đường Ngô Xuân Quảng, Thị Trấn Trâu Quỳ, Huyện Gia Lâm, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH MIỀN NAM - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN AVAC VIỆT NAM,0900921941-002,NGUYỄN NAM HÙNG," 708 Quốc lộ 1A, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
