company_name,mst,company_representative,address
"PHÒNG CHẨN TRỊ YHCT, MASAGE VẬT LÝ TRỊ LIỆU THIÊN THAI - CHI NHÁNH THƯƠNG MẠI VÀ DỊCH VỤ THIÊN THAI - CÔNG TY CỔ PHẦN T.H.I",0401373591-003,ĐOÀN THỊ THANH THỦY," Tầng 3, Số nhà 07- Quang Trung, Phường Thạch Thang, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
PHÒNG GIAO DỊCH SỐ 02 - CÔNG TY CỔ PHẦN T.H.I,0401373591-002,ĐOÀN THỊ THANH THỦY," Lô 284-285 Khu B2-4 Khu tái định cư An Đồn, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN BIO - INNOVA,1801584831-001,LÊ HỒNG PHONG," Số 268 Cao Thắng, Khóm 6, Phường 8, Thành phố Sóc Trăng, Tỉnh Sóc Trăng, Việt Nam"
CHI NHÁNH TẠI MIỀN NAM - CÔNG TY TRÁCH NHIỆM HỮU HẠN DƯỢC PHẨM HẠNH THÁI,0200404031-002,"TẠ GIA PHÚC (HSIEH, CHIA - FU)"," Số 12, Đường Nguyễn Sơn, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI DƯỢC PHẨM Á ĐÔNG,0108171307,Nguyễn Thế Hoàng," Số 27, ngách 378/91 phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM 3/2,0302408317,HIROKI KATO ," 601 Cách Mạng Tháng Tám, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ LÀNG XƯA,0108187392,Phạm Hữu Toàn," Số 12 ngõ 96 phố Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH KỸ THUẬT DINH DƯỠNG ÚC CHÂU,0305134449-001,LÊ VIẾT THÔNG," Thửa đất số 828, tờ bản đồ số 37, khu phố Phú Hòa, Phường Hòa Lợi, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam"
CỬA HÀNG GIỚI THIỆU SẢN PHẨM - CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÔNG DƯỢC PHÚC QUÝ HIỂN,0800737603-002,LÊ HỒNG SÁU," Số nhà 18, phố Bùi Thị Xuân, Phường Lê Thanh Nghị, Thành phố Hải Dương, Tỉnh Hải Dương, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC THIẾT BỊ Y TẾ HÀ GIANG,5100102861,HOÀNG THỊ MAI.LÝ ANH THỊNH," Số 344, đường Nguyễn Trãi, tổ 10, Phường Nguyễn Trãi, Thành Phố Hà Giang, Tỉnh Hà Giang, Việt Nam"
CÔNG TY TNHH XUẤT NHẬP KHẨU SHRIMPTECH,0317536110,HUỲNH TIẾN KHƯƠNG," 257/50/18 Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
NHÀ MÁY SẢN XUẤT CÔNG TY TNHH DƯỢC PHẨM THIÊN ÂN,0101149648-002,Ngô Trọng Đức," Lô II-8.3 khu công nghiệp Quế Võ 2, Xã Ngọc Xá, Thị xã Quế Võ, Tỉnh Bắc Ninh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DƯỢC PHẨM SHINPOONG DAEWOO,3600275957-005,PHƯƠNG THÚY LINH," Phòng B102 nhà số 2 ngõ 59 Láng Hạ, Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NAM DƯỢC TRIỆU NGỌC HÒA,0107358045,Hoàng Thị Ngọc," Thôn Yên Sơn, Xã Ba Vì, Huyện Ba Vì, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI CÔNG M&AMP;T,0310778953-002,PHẠM XUÂN THẮNG," 197/50/10 Đường TL15, Khu phố 3, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ SINH HỌC VIỆT LINH,0309299917-001,Cao Tùng Hiếu," 815/4/3/10 Hương Lộ 2, khu phố 8, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT DƯỢC SONG VÂN,0301497931-001,Lê Trí Hưng," 274 đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM NAM VIỆT,0301447641,ĐINH THỊ GHI," 70 Thành Công, Phường Tân Thành, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ KIM VƯỢNG PHÁT,0901032261,Phạm Thị Ngọc Kim," Thôn Bằng Nha, Xã Bình Minh, Huyện Khoái Châu , Tỉnh Hưng Yên, Việt Nam"
