co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Giáo dục và Đào tạo,DHN,Trường đại học,Công lập,"University of Arts, Hue University","TRƯỜNG ĐẠI HỌC NGHỆ THUẬT, ĐẠI HỌC HUẾ",Thừa Thiên Huế,http://hufa.hueuni.edu.vn/
Bộ Giáo dục và Đào tạo,DTZ,Trường đại học,Công lập,University of Sciences - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC KHOA HỌC, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,https://tnus.edu.vn/
QHF,VNU University of Languages and International Studies,Trường đại học,Công lập,https://ulis.vnu.edu.vn/,TRƯỜNG ĐẠI HỌC NGOẠI NGỮ - ĐẠI HỌC QUỐC GIA HÀ NỘI,VNU-HCM CEA,Hà Nội
Bộ Giáo dục và Đào tạo,DHF,Trường đại học,Công lập,University of Foreign Languages Hue University,"TRƯỜNG ĐẠI HỌC NGOẠI NGỮ, ĐẠI HỌC HUẾ",Thừa Thiên Huế,https://hucfl.edu.vn/vi/
Bộ Giáo dục và Đào tạo,NTT,Trường đại học,Tư thục,Nguyen Tat Thanh University,TRƯỜNG ĐẠI HỌC NGUYỄN TẤT THÀNH,TP. Hồ Chí Minh,https://ntt.edu.vn/
Bộ Giáo dục và Đào tạo,NTU,Trường đại học,Tư thục,Nguyen Trai University,TRƯỜNG ĐẠI HỌC NGUYỄN TRÃI,Hà Nội,http://daihocnguyentrai.edu.vn/
Bộ Giáo dục và Đào tạo,DNT,Trường đại học,Tư thục,Ho Chi Minh City University of Foreign Languages and Information Technology,TRƯỜNG ĐẠI HỌC NGOẠI NGỮ - TIN HỌC TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://huflit.edu.vn/
UBND tỉnh Quảng Ngãi,DPQ,Trường đại học,Công lập,Pham Van Dong University,TRƯỜNG ĐẠI HỌC PHẠM VĂN ĐỒNG,Quảng Ngãi,http://pdu.edu.vn/
Bộ Giáo dục và Đào tạo,DPC,Trường đại học,Tư thục,Phan Chau Trinh Universtiy,TRƯỜNG ĐẠI HỌC PHAN CHÂU TRINH,Quảng Nam,http://pctu.edu.vn/
Bộ Giáo dục và Đào tạo,DPX,Trường đại học,Tư thục,Phu Xuan University,TRƯỜNG ĐẠI HỌC PHÚ XUÂN,Thừa Thiên Huế,http://pctu.edu.vn/
Bộ Giáo dục và Đào tạo,DPT,Trường đại học,Tư thục,University of Phan Thiet,TRƯỜNG ĐẠI HỌC PHAN THIẾT,Bình Thuận,http://upt.edu.vn/
Bộ Giáo dục và Đào tạo,DTA,Trường đại học,Tư thục,Phenikaa University,TRƯỜNG ĐẠI HỌC PHENIKAA,Hà Nội,https://phenikaa-uni.edu.vn/
Bộ Giáo dục và Đào tạo,DHP,Trường đại học,Tư thục,University of Management and Technology Hai Phong,TRƯỜNG ĐẠI HỌC QUẢN LÝ VÀ CÔNG NGHỆ HẢI PHÒNG,Hải Phòng,https://hpu.edu.vn/
Bộ Giáo dục và Đào tạo,UMT,Trường đại học,Tư thục,University of Management and Technology Ho Chi Minh City,TRƯỜNG ĐẠI HỌC QUẢN LÝ VÀ CÔNG NGHỆ TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://www.umt.edu.vn/
UBND tỉnh Phú Yên,DPY,Trường đại học,Công lập,Phu Yen University,TRƯỜNG ĐẠI HỌC PHÚ YÊN,Phú Yên,https://pyu.edu.vn/
UBND tỉnh Quảng Nam,DQU,Trường đại học,Công lập,Quang Nam University,TRƯỜNG ĐẠI HỌC QUẢNG NAM,Quảng Nam,http://qnamuni.edu.vn/
Bộ Lao động - Thương binh và Xã hội,DLX,Trường đại học,Công lập,University of Labour and Social Affairs,TRƯỜNG ĐẠI HỌC LAO ĐỘNG - XÃ HỘI,Hà Nội,http://ulsa.edu.vn/
UBND tỉnh Quảng Bình,DQB,Trường đại học,Công lập,Quang Binh University,TRƯỜNG ĐẠI HỌC QUẢNG BÌNH,Quảng Bình,https://quangbinhuni.edu.vn/
